Date,Open,High,Low,Close,Adj Close,Volume
2020-03-26,-0.103000,-0.100000,-0.123000,-0.105000,-0.105000,0
2020-03-27,-0.108000,-0.058000,-0.108000,-0.058000,-0.058000,0
2020-03-29,null,null,null,null,null,null
2020-03-30,-0.043000,0.020000,-0.053000,0.013000,0.013000,0
2020-03-31,0.070000,0.070000,0.028000,0.030000,0.030000,0
2020-04-01,0.085000,0.090000,0.063000,0.063000,0.063000,0
2020-04-02,0.053000,0.073000,0.040000,0.065000,0.065000,0
2020-04-03,0.048000,0.063000,0.048000,0.058000,0.058000,0
2020-04-05,null,null,null,null,null,null
2020-04-06,0.058000,0.083000,0.053000,0.060000,0.060000,0
2020-04-07,0.115000,0.130000,0.115000,0.128000,0.128000,0
2020-04-08,0.155000,0.188000,0.155000,0.185000,0.185000,0
2020-04-09,0.163000,0.215000,0.155000,0.210000,0.210000,0
2020-04-12,null,null,null,null,null,null
2020-04-13,0.208000,0.260000,0.195000,0.200000,0.200000,0
2020-04-14,0.218000,0.220000,0.165000,0.165000,0.165000,0
2020-04-15,0.115000,0.125000,0.108000,0.115000,0.115000,0
2020-04-16,0.118000,0.125000,0.110000,0.110000,0.110000,0
2020-04-17,0.110000,0.113000,0.095000,0.103000,0.103000,0
2020-04-19,null,null,null,null,null,null
2020-04-20,0.100000,0.108000,0.070000,0.070000,0.070000,0
2020-04-21,0.105000,0.110000,0.098000,0.098000,0.098000,0
2020-04-22,0.103000,0.103000,0.093000,0.093000,0.093000,0
2020-04-23,0.088000,0.100000,0.088000,0.093000,0.093000,0
2020-04-24,0.093000,0.103000,0.093000,0.100000,0.100000,0
2020-04-26,null,null,null,null,null,null
2020-04-27,0.090000,0.100000,0.090000,0.093000,0.093000,0
2020-04-28,0.103000,0.103000,0.083000,0.085000,0.085000,0
2020-04-29,0.075000,0.100000,0.075000,0.090000,0.090000,0
2020-04-30,0.078000,0.093000,0.078000,0.090000,0.090000,0
2020-05-01,0.088000,0.095000,0.088000,0.093000,0.093000,0
2020-05-03,null,null,null,null,null,null
2020-05-04,0.095000,0.103000,0.090000,0.090000,0.090000,0
2020-05-05,0.103000,0.110000,0.100000,0.110000,0.110000,0
2020-05-06,0.078000,0.108000,0.078000,0.108000,0.108000,0
2020-05-07,0.105000,0.105000,0.090000,0.095000,0.095000,0
2020-05-08,0.098000,0.098000,0.090000,0.095000,0.095000,0
2020-05-10,null,null,null,null,null,null
2020-05-11,0.098000,0.105000,0.095000,0.105000,0.105000,0
2020-05-12,0.118000,0.123000,0.118000,0.123000,0.123000,0
2020-05-13,0.118000,0.120000,0.110000,0.115000,0.115000,0
2020-05-14,0.108000,0.113000,0.105000,0.105000,0.105000,0
2020-05-15,0.105000,0.108000,0.100000,0.103000,0.103000,0
2020-05-17,null,null,null,null,null,null
2020-05-18,0.105000,0.105000,0.103000,0.105000,0.105000,0
2020-05-19,0.113000,0.120000,0.113000,0.118000,0.118000,0
2020-05-20,0.113000,0.120000,0.113000,0.118000,0.118000,0
2020-05-21,0.110000,0.113000,0.110000,0.110000,0.110000,0
2020-05-22,0.110000,0.113000,0.108000,0.110000,0.110000,0
2020-05-24,null,null,null,null,null,null
2020-05-26,0.110000,0.118000,0.110000,0.118000,0.118000,0
2020-05-27,0.125000,0.140000,0.125000,0.135000,0.135000,0
2020-05-28,0.133000,0.140000,0.133000,0.138000,0.138000,0
2020-05-29,0.130000,0.130000,0.128000,0.128000,0.128000,0
2020-05-31,null,null,null,null,null,null
2020-06-01,0.130000,0.130000,0.128000,0.128000,0.128000,0
2020-06-02,0.143000,0.145000,0.143000,0.145000,0.145000,0
2020-06-03,0.145000,0.148000,0.145000,0.148000,0.148000,0
2020-06-04,0.143000,0.143000,0.138000,0.140000,0.140000,0
2020-06-05,0.143000,0.145000,0.140000,0.145000,0.145000,0
2020-06-07,null,null,null,null,null,null
2020-06-08,0.148000,0.153000,0.148000,0.153000,0.153000,0
2020-06-09,0.160000,0.165000,0.160000,0.165000,0.165000,0
2020-06-10,0.163000,0.168000,0.163000,0.165000,0.165000,0
2020-06-11,0.158000,0.158000,0.150000,0.153000,0.153000,0
2020-06-12,0.155000,0.165000,0.150000,0.150000,0.150000,0
2020-06-14,null,null,null,null,null,null
2020-06-15,0.158000,0.163000,0.155000,0.155000,0.155000,0
2020-06-16,0.153000,0.163000,0.153000,0.160000,0.160000,0
2020-06-17,0.160000,0.165000,0.160000,0.165000,0.165000,0
2020-06-18,0.148000,0.148000,0.140000,0.140000,0.140000,0
2020-06-19,0.143000,0.148000,0.140000,0.143000,0.143000,0
2020-06-21,null,null,null,null,null,null
2020-06-22,0.140000,0.143000,0.140000,0.140000,0.140000,0
2020-06-23,0.145000,0.145000,0.140000,0.140000,0.140000,0
2020-06-24,0.138000,0.138000,0.135000,0.135000,0.135000,0
2020-06-25,0.135000,0.135000,0.128000,0.130000,0.130000,0
2020-06-26,0.133000,0.135000,0.128000,0.133000,0.133000,0
2020-06-28,null,null,null,null,null,null
2020-06-29,0.130000,0.130000,0.125000,0.125000,0.125000,0
2020-06-30,0.138000,0.138000,0.135000,0.135000,0.135000,0
2020-07-01,0.135000,0.135000,0.130000,0.130000,0.130000,0
2020-07-02,0.128000,0.135000,0.128000,0.133000,0.133000,0
2020-07-05,null,null,null,null,null,null
2020-07-06,0.135000,0.135000,0.128000,0.128000,0.128000,0
2020-07-07,0.140000,0.143000,0.140000,0.140000,0.140000,0
2020-07-08,0.138000,0.138000,0.135000,0.135000,0.135000,0
2020-07-09,0.130000,0.130000,0.120000,0.123000,0.123000,0
2020-07-10,0.120000,0.120000,0.120000,0.120000,0.120000,0
2020-07-12,null,null,null,null,null,null
2020-07-13,0.120000,0.128000,0.120000,0.125000,0.125000,0
2020-07-14,0.133000,0.133000,0.133000,0.133000,0.133000,0
2020-07-15,0.125000,0.128000,0.120000,0.125000,0.125000,0
2020-07-16,0.118000,0.118000,0.100000,0.103000,0.103000,0
2020-07-17,0.100000,0.105000,0.100000,0.105000,0.105000,0
2020-07-19,null,null,null,null,null,null
2020-07-20,0.105000,0.108000,0.105000,0.105000,0.105000,0
2020-07-21,0.115000,0.115000,0.110000,0.110000,0.110000,0
