Date,Covid_Cases,Stock_Open,Vix
4/10/2020,32612.33333,117.800003,41.67
4/11/2020,34250.33333,117.800003,41.67
4/12/2020,32606.33333,117.800003,41.67
4/13/2020,30512.66667,127,41.17
4/14/2020,27011.33333,141.070007,37.76
4/15/2020,26521.66667,141.710007,40.84
4/16/2020,27364.33333,149.919998,40.11
4/17/2020,29579,147.910004,38.15
4/18/2020,30882.66667,147.910004,38.15
4/19/2020,31807.33333,147.910004,38.15
4/20/2020,29452,153.300003,43.83
4/21/2020,28529.33333,151.419998,45.41
4/22/2020,29985,147.100006,41.98
4/23/2020,27647.33333,154.009995,41.38
4/24/2020,27140,177.149994,35.93
4/25/2020,21827.66667,177.149994,35.93
4/26/2020,32141.33333,177.149994,35.93
4/27/2020,32246,156.589996,33.29
4/28/2020,32642.33333,165,33.57
4/29/2020,24510,147.979996,31.23
4/30/2020,24666.33333,139.990005,34.15
5/1/2020,27125,136,37.19
5/2/2020,30399.33333,136,37.19
5/3/2020,31053.33333,136,37.19
5/4/2020,29405,140.770004,35.97
5/5/2020,25617.66667,144.429993,33.61
5/6/2020,23802,145.470001,34.12
5/7/2020,23520.66667,154.839996,31.44
5/8/2020,25446,160,27.98
5/9/2020,26484.66667,160,27.98
5/10/2020,26979.33333,160,27.98
5/11/2020,24275.66667,159.429993,27.57
5/12/2020,21329,168,33.04
5/13/2020,20141,163.610001,35.28
5/14/2020,20315.66667,168.259995,32.61
5/15/2020,23324.33333,166.75,31.89
5/16/2020,24477.66667,166.75,31.89
5/17/2020,25712.66667,166.75,31.89
5/18/2020,22956,170.029999,29.3
5/19/2020,21733.66667,167,30.53
5/20/2020,20228,173.529999,27.99
5/21/2020,21698.66667,175.960007,29.53
5/22/2020,22896.33333,171.860001,28.16
5/23/2020,24288.66667,171.860001,28.16
5/24/2020,23605.66667,171.860001,28.16
5/25/2020,21983.66667,171.860001,28.16
5/26/2020,20289.33333,169.100006,28.01
5/27/2020,19514,158.009995,27.62
5/28/2020,18898.33333,159.229996,28.59
5/29/2020,19816,168,27.51
5/30/2020,21958.33333,168,27.51
5/31/2020,23483.66667,168,27.51
6/1/2020,22813.66667,183.179993,28.23
6/2/2020,21396.66667,210.25,26.84
6/3/2020,20479,211.699997,25.66
6/4/2020,20443,221,25.81
6/5/2020,20461,200.110001,24.52
6/6/2020,22005.66667,200.110001,24.52
6/7/2020,22847,200.110001,24.52
6/8/2020,23234.33333,204.350006,25.81
6/9/2020,21115.66667,209.830002,27.57
6/10/2020,19929.66667,208.889999,27.57
6/11/2020,19367,219.179993,40.79
6/12/2020,20720.66667,224.789993,36.09
6/13/2020,23045.33333,224.789993,36.09
6/14/2020,24687.33333,224.789993,36.09
6/15/2020,23574,227.839996,34.4
6/16/2020,21680,235.990005,33.67
6/17/2020,21068.33333,243.179993,33.47
6/18/2020,23073.66667,240.389999,32.94
6/19/2020,25675.33333,241.639999,35.12
6/20/2020,27743.33333,241.639999,35.12
6/21/2020,30609.66667,241.639999,35.12
6/22/2020,29953.33333,247.464996,31.77
6/23/2020,30447,251.259995,31.37
6/24/2020,30634.33333,254.5,33.84
6/25/2020,33483,258.230011,32.22
6/26/2020,36669.33333,260.519989,34.73
6/27/2020,40271.66667,260.519989,34.73
6/28/2020,42987.33333,260.519989,34.73
6/29/2020,42228.66667,254.970001,31.78
6/30/2020,40905,249.869995,30.43
7/1/2020,41369.66667,251.350006,28.62
7/2/2020,45828,261,27.68
7/3/2020,49775.66667,261,27.68
7/4/2020,53296.33333,261,27.68
7/5/2020,51020.66667,261,27.68
7/6/2020,49585.33333,265,27.94
7/7/2020,48101.33333,261.549988,29.43
7/8/2020,52185.33333,263.799988,28.08
7/9/2020,55456.33333,269.01001,29.26
7/10/2020,59794.33333,271.769989,27.29
7/11/2020,62845,271.769989,27.29
7/12/2020,64226.66667,271.769989,27.29
7/13/2020,62311.33333,278.630005,27.29
7/14/2020,59474.33333,260.959991,29.52
7/15/2020,61296.66667,260.959991,27.76
